# scout01 구동감시 오탐 자력회복 건 — 후진 재시도로 9초 만에 해제 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
2331.917,10159.800,-59.7088,40.1082,92.005,-59.5415,40.0918,89.997,0.1673,-0.0163,-2.008
2332.202,10159.900,-59.7098,40.1362,92.005,-59.5415,40.1198,89.996,0.1683,-0.0163,-2.008
2332.495,10160.000,-59.7108,40.1641,92.004,-59.5415,40.1478,89.997,0.1693,-0.0163,-2.008
2332.819,10160.100,-59.7118,40.1921,92.006,-59.5415,40.1758,89.997,0.1703,-0.0163,-2.008
2333.113,10160.200,-59.7128,40.2201,92.007,-59.5415,40.2038,89.998,0.1713,-0.0162,-2.008
2333.409,10160.300,-59.7138,40.2481,92.008,-59.5415,40.2318,90.000,0.1723,-0.0162,-2.008
2333.699,10160.400,-59.7148,40.2760,92.008,-59.5415,40.2598,89.999,0.1733,-0.0162,-2.009
2334.002,10160.500,-59.7158,40.3040,92.010,-59.5415,40.2878,90.001,0.1743,-0.0161,-2.008
2334.276,10160.600,-59.7168,40.3319,92.010,-59.5415,40.3158,90.001,0.1753,-0.0161,-2.009
2334.586,10160.700,-59.7178,40.3599,92.011,-59.5415,40.3438,90.003,0.1763,-0.0161,-2.009
2334.888,10160.800,-59.7188,40.3879,92.011,-59.5415,40.3718,90.003,0.1773,-0.0161,-2.008
2335.203,10160.900,-59.7198,40.4159,92.012,-59.5415,40.3998,90.004,0.1783,-0.0160,-2.009
2335.478,10161.000,-59.7207,40.4438,92.012,-59.5415,40.4278,90.004,0.1792,-0.0160,-2.009
2335.757,10161.100,-59.7216,40.4718,92.013,-59.5415,40.4558,90.004,0.1801,-0.0159,-2.008
2336.030,10161.200,-59.7226,40.4997,92.014,-59.5415,40.4838,90.005,0.1811,-0.0159,-2.009
2336.311,10161.300,-59.7236,40.5277,92.014,-59.5415,40.5152,90.005,0.1821,-0.0125,-2.008
2336.591,10161.400,-59.7246,40.5556,92.013,-59.5415,40.5398,90.004,0.1831,-0.0158,-2.009
