# scout02 2대 동시 게이트 전 구간 참값 대조 1 Hz 다운샘플 (원본 10 Hz 38457행) — RTF(Δt_sim/Δt_wall)·통로 내 횡오차의 근거
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
0.792,9328.442,-9.9167,64.3381,-90.000,-9.5156,64.3028,-90.325,0.4011,-0.0353,-0.325
3.267,9329.400,-9.9167,64.3381,-90.000,-9.5247,64.3024,-90.325,0.3920,-0.0357,-0.325
5.851,9330.400,-9.9167,64.3381,-90.000,-9.5258,64.3073,-90.333,0.3909,-0.0308,-0.333
8.487,9331.400,-9.9167,64.3381,-90.000,-9.5295,64.3003,-90.300,0.3872,-0.0378,-0.300
11.114,9332.400,-9.9167,64.3381,-90.000,-9.5189,64.3065,-90.316,0.3978,-0.0316,-0.317
13.686,9333.400,-9.9167,64.3381,-90.000,-9.5137,64.2981,-90.308,0.4030,-0.0400,-0.308
16.253,9334.400,-9.9167,64.3381,-90.000,-9.5208,64.3055,-90.316,0.3959,-0.0326,-0.317
18.952,9335.400,-9.9167,64.3381,-90.000,-9.5061,64.2998,-90.325,0.4106,-0.0383,-0.325
21.562,9336.400,-9.9167,64.3381,-90.000,-9.5275,64.2992,-90.308,0.3892,-0.0389,-0.308
24.179,9337.400,-9.9167,64.3381,-90.000,-9.5261,64.3066,-90.316,0.3906,-0.0315,-0.317
26.795,9338.400,-9.9167,64.3381,-90.000,-9.5258,64.3092,-90.325,0.3909,-0.0289,-0.325
29.481,9339.400,-9.9167,64.3381,-90.000,-9.5230,64.3090,-90.342,0.3937,-0.0291,-0.341
32.136,9340.400,-9.9167,64.3381,-90.000,-9.5285,64.3067,-90.308,0.3882,-0.0314,-0.308
34.850,9341.400,-9.9167,64.3381,-90.000,-9.5279,64.3086,-90.308,0.3888,-0.0295,-0.308
37.536,9342.400,-9.9167,64.3381,-90.000,-9.5257,64.3044,-90.333,0.3910,-0.0337,-0.333
40.196,9343.400,-9.9167,64.3381,-90.000,-9.5258,64.3084,-90.325,0.3909,-0.0297,-0.325
42.855,9344.400,-9.9167,64.3381,-90.000,-9.5248,64.3094,-90.316,0.3919,-0.0287,-0.317
45.536,9345.400,-9.9167,64.3381,-90.000,-9.5270,64.3075,-90.325,0.3897,-0.0306,-0.325
48.135,9346.400,-9.9167,64.3381,-90.000,-9.5152,64.3087,-90.325,0.4015,-0.0294,-0.325
50.801,9347.400,-9.9167,64.3381,-90.000,-9.5191,64.3062,-90.308,0.3976,-0.0319,-0.308
53.443,9348.400,-9.9167,64.3381,-90.000,-9.5293,64.3089,-90.308,0.3874,-0.0292,-0.308
56.147,9349.400,-9.9167,64.3381,-90.000,-9.5245,64.3062,-90.316,0.3922,-0.0319,-0.317
58.810,9350.400,-9.9167,64.3381,-90.000,-9.5262,64.3106,-90.308,0.3905,-0.0275,-0.308
61.378,9351.400,-9.9167,64.3381,-90.000,-9.5377,64.3060,-90.300,0.3790,-0.0321,-0.300
64.042,9352.400,-9.9167,64.3381,-90.000,-9.5309,64.3070,-90.308,0.3858,-0.0311,-0.308
66.636,9353.400,-9.9167,64.3381,-90.000,-9.5279,64.3070,-90.316,0.3888,-0.0311,-0.317
69.329,9354.400,-9.9167,64.3381,-90.000,-9.5237,64.3052,-90.325,0.3930,-0.0329,-0.325
71.968,9355.400,-9.9167,64.3381,-90.000,-9.5204,64.3105,-90.316,0.3963,-0.0276,-0.317
74.601,9356.400,-9.9167,64.3381,-90.000,-9.5274,64.3066,-90.316,0.3893,-0.0315,-0.317
77.217,9357.400,-9.9167,64.3381,-90.000,-9.5163,64.3078,-90.325,0.4004,-0.0303,-0.325
79.817,9358.400,-9.9167,64.3381,-90.000,-9.5242,64.3083,-90.325,0.3925,-0.0298,-0.325
82.542,9359.400,-9.9167,64.3381,-90.000,-9.5151,64.3000,-90.325,0.4016,-0.0381,-0.325
85.194,9360.400,-9.9167,64.3381,-90.000,-9.5135,64.2992,-90.333,0.4032,-0.0389,-0.333
87.833,9361.400,-9.9167,64.3381,-90.000,-9.5286,64.3070,-90.316,0.3881,-0.0311,-0.317
90.458,9362.400,-9.9167,64.3381,-90.000,-9.5246,64.3094,-90.325,0.3921,-0.0287,-0.325
93.006,9363.400,-9.9167,64.3381,-90.000,-9.5236,64.3093,-90.325,0.3931,-0.0288,-0.325
95.626,9364.400,-9.9167,64.3381,-90.000,-9.5244,64.3074,-90.333,0.3923,-0.0307,-0.333
98.294,9365.400,-9.9167,64.3381,-90.000,-9.5154,64.3085,-90.342,0.4013,-0.0296,-0.341
100.960,9366.400,-9.9167,64.3381,-90.000,-9.5238,64.3092,-90.325,0.3929,-0.0289,-0.325
103.598,9367.400,-9.9167,64.3381,-90.000,-9.5183,64.3082,-90.325,0.3984,-0.0299,-0.325
106.248,9368.400,-9.9167,64.3381,-90.000,-9.5288,64.3078,-90.308,0.3879,-0.0303,-0.308
108.897,9369.400,-9.9167,64.3381,-90.000,-9.5256,64.3022,-90.316,0.3911,-0.0359,-0.317
111.551,9370.400,-9.9167,64.3381,-90.000,-9.5250,64.3081,-90.308,0.3917,-0.0300,-0.308
