# scout01 통로 7 구동감시 오탐 정지 — 추정 점프 순간 전후 90/60초 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
9926.023,12852.200,-30.1253,39.1046,84.320,-29.8426,39.1388,84.388,0.2827,0.0343,0.067
9926.305,12852.300,-30.1223,39.1316,84.488,-29.8400,39.1659,84.557,0.2823,0.0342,0.068
9926.597,12852.400,-30.1196,39.1585,84.520,-29.9293,39.2023,84.537,0.1904,0.0437,0.017
9926.868,12852.500,-30.1167,39.1830,84.121,-29.9267,39.2278,84.106,0.1900,0.0448,-0.015
9927.157,12852.600,-30.1136,39.2088,83.888,-29.8511,39.2736,83.909,0.2625,0.0648,0.021
9927.443,12852.700,-30.1108,39.2363,83.985,-29.8482,39.3006,84.019,0.2626,0.0644,0.034
9927.734,12852.800,-30.1079,39.2635,84.137,-29.7950,39.3115,84.147,0.3129,0.0481,0.010
9928.011,12852.900,-30.1050,39.2900,84.558,-29.7925,39.3367,84.540,0.3126,0.0467,-0.017
9928.282,12853.000,-30.1022,39.3165,84.870,-29.8621,39.3727,84.792,0.2402,0.0562,-0.078
9928.568,12853.100,-30.0997,39.3443,84.860,-29.8595,39.4005,84.781,0.2402,0.0563,-0.079
9928.840,12853.200,-30.0971,39.3718,84.961,-29.7639,39.4183,84.910,0.3332,0.0465,-0.051
9929.124,12853.300,-30.0940,39.3967,85.624,-29.7618,39.4427,85.500,0.3321,0.0460,-0.124
9929.425,12853.400,-30.0913,39.4219,86.166,-29.7733,39.4577,85.972,0.3180,0.0358,-0.194
9929.725,12853.500,-30.0892,39.4479,86.557,-29.7716,39.4830,86.364,0.3176,0.0351,-0.193
9930.004,12853.600,-30.0874,39.4745,86.863,-29.8084,39.5217,86.611,0.2790,0.0473,-0.252
9930.304,12853.700,-30.0858,39.5017,87.020,-29.8068,39.5487,86.757,0.2790,0.0469,-0.262
9930.589,12853.800,-30.0840,39.5290,87.202,-29.7922,39.5690,86.924,0.2918,0.0399,-0.279
9930.910,12853.900,-30.0830,39.5556,87.450,-29.7908,39.5955,87.153,0.2922,0.0399,-0.297
9931.207,12854.000,-30.0823,39.5826,87.731,-29.7657,39.6217,87.435,0.3165,0.0391,-0.296
9931.477,12854.100,-30.0819,39.6088,88.160,-29.7647,39.6475,87.828,0.3172,0.0387,-0.332
9931.764,12854.200,-30.0813,39.6351,88.486,-29.7848,39.6875,88.175,0.2966,0.0524,-0.311
9932.035,12854.300,-30.0802,39.6618,88.653,-29.7841,39.7110,88.301,0.2962,0.0493,-0.352
9932.335,12854.400,-30.0795,39.6888,88.797,-29.8127,39.7423,88.452,0.2668,0.0536,-0.345
9932.639,12854.500,-30.0789,39.7167,88.794,-29.8120,39.7703,88.448,0.2669,0.0536,-0.345
9932.929,12854.600,-30.0783,39.7446,88.822,-29.7913,39.7982,88.527,0.2870,0.0536,-0.295
9933.185,12854.700,-30.0776,39.7721,88.940,-29.7906,39.8255,88.638,0.2870,0.0534,-0.303
9933.477,12854.800,-30.0773,39.7995,89.015,-29.8153,39.8489,88.696,0.2620,0.0494,-0.320
9933.759,12854.900,-30.0769,39.8272,88.979,-29.8147,39.8767,88.662,0.2622,0.0495,-0.317
9934.044,12855.000,-30.0765,39.8549,88.970,-29.8027,39.9169,88.655,0.2738,0.0620,-0.315
9934.315,12855.100,-30.0759,39.8827,89.018,-29.8020,39.9447,88.698,0.2739,0.0620,-0.320
9934.623,12855.200,-30.0755,39.9101,89.006,-29.8405,39.9768,88.638,0.2350,0.0667,-0.368
9934.896,12855.300,-30.0752,39.9364,88.862,-29.8398,40.0037,88.482,0.2354,0.0673,-0.379
9935.153,12855.400,-30.0747,39.9633,88.726,-29.8177,40.0280,88.382,0.2570,0.0647,-0.344
9935.433,12855.500,-30.0741,39.9910,88.708,-29.8169,40.0558,88.363,0.2572,0.0648,-0.345
9935.684,12855.600,-30.0736,40.0186,88.656,-29.8305,40.0713,88.296,0.2431,0.0527,-0.360
9935.991,12855.700,-30.0731,40.0459,88.567,-29.8296,40.0987,88.205,0.2435,0.0528,-0.362
9936.253,12855.800,-30.0724,40.0733,88.527,-29.7927,40.1213,88.192,0.2797,0.0481,-0.335
9936.532,12855.900,-30.0713,40.0999,88.643,-29.7919,40.1485,88.301,0.2794,0.0486,-0.341
9936.798,12856.000,-30.0703,40.1268,88.827,-29.7465,40.1711,88.489,0.3239,0.0443,-0.337
9937.060,12856.100,-30.0688,40.1538,89.163,-29.7459,40.1967,88.827,0.3229,0.0429,-0.336
9937.343,12856.200,-30.0680,40.1805,89.414,-29.8029,40.2066,88.990,0.2651,0.0261,-0.424
9937.627,12856.300,-30.0677,40.2084,89.425,-29.8024,40.2345,89.003,0.2653,0.0261,-0.422
